Name,agn_frac,agn_name,agn_norm,chi2,host_name,host_norm,lir_total
MCG-01-33-063,0.005605041,Mean,-3.79889607,38.62037866,SB1,-1.969027929,10.30297967
ESO362-18,0.377451372,Mean,-1.416281786,39.18684179,SB5,-2.228583822,10.19862959
ESO509-IG066NED01,0.433617266,Mean,-1.573697958,39.46295359,SB1,-1.876806468,10.87596187
Fairall9,0.898126342,Mean,-1.160217713,39.85230707,SB1,-2.524605194,11.25499645
Mrk653,0.39600565,Mean,-2.230434342,39.85789457,SB1,-2.466214796,10.46172544
ESO506-G027,0.415889595,Mean,-1.63883352,40.11391179,SB1,-1.910428581,10.54892102
2MASXJ13411287-1438407,0.720506376,Mean,-1.907548675,40.1495709,SB1,-2.737926547,10.49772245
IC1816,0.227121065,Mean,-1.596603133,41.40220562,SB5,-2.094363386,10.50996921
ESO553-G022,0.216337848,Mean,-2.700270732,41.45391971,SB1,-2.560386312,10.23367472
Fairall272,0.160628858,Mean,-2.114863779,42.04165597,SB5,-2.426347623,10.36475543
ESO244-IG030,0.019281835,Mean,-2.825291672,42.68817036,SB5,-2.148510133,10.71636339
UGC03142,0.221468138,Mean,-1.770355734,44.77660463,SB1,-1.643502546,10.56327743
2MASXJ19373299-0613046,0.357508826,Mean,-1.071980676,45.0788057,SB5,-1.847014586,10.39685148
MCG+06-49-019,0.236775298,Mean,-2.463780518,46.14310352,SB1,-2.374576439,9.827398155
NGC513,0.018908648,Mean,-2.594685775,47.19962411,SB5,-1.909251116,10.71713025
NGC5728,0.016294523,Mean,-2.063027436,49.21669663,SB5,-1.311818299,10.24387117
Mrk1018,0.759627427,Mean,-2.035464848,49.59284204,SB1,-2.954292521,10.3605764
WKK6471,0.509772867,Mean,-2.29695664,50.73638232,SB1,-2.73304796,10.09070205
IC2637,0.029653536,Mean,-2.424117332,53.39832997,SB5,-1.938881299,11.04820326
IC1657,0.090746519,Mean,-1.909365102,53.45884378,SB1,-1.327622051,10.28914275
UGC01479,0.002194893,Mean,-3.678643211,53.64747744,SB5,-2.050625157,10.41589452
M106,5.65E-12,Mean,-10.86273608,53.74616715,SB1,-0.033894821,9.878023333
ESO197-G027,0.210155175,Mean,-2.040106074,54.36796497,SB1,-1.884216335,11.02619791
NGC5106,3.02E-12,Mean,-12.34318924,55.95295436,SB5,-1.853453647,11.19936951
NGC3227,0.302115452,Mean,-0.696452224,57.58139554,SB1,-0.751953527,10.39661958
Mrk975,0.407763728,Mean,-1.571413785,58.17008501,SB5,-2.43894168,11.23543822
NGC788,0.778641004,Mean,-1.327233508,59.68349947,SB1,-2.292585551,10.05124582
ESO031-G008,0.494144321,Mean,-2.422873097,61.23410947,SB1,-2.831812225,9.77738847
NGC4992,0.433222947,Mean,-2.096392581,62.79897665,SB1,-2.398803722,10.07761529
NGC4388,0.17210943,Mean,-0.891992895,62.84674946,SB5,-1.239438932,10.0528579
Mrk590,0.227611214,Mean,-1.899097108,62.87867248,SB1,-1.787566751,10.59732465
UGC07064,0.164290227,Mean,-1.743368573,63.7175728,SB5,-2.06653913,10.84679709
2MASXJ12005792+0648226,0.495663204,Mean,-1.762423798,64.50669278,SB1,-2.174001772,10.67319145
ESO548-G081,0.517084873,Mean,-1.393344557,64.98687716,SB1,-1.842147529,10.21775615
Mrk739E,0.130829149,Mean,-1.889458565,65.73233881,SB5,-2.096672235,10.95290019
NGC4748,0.179907419,Mean,-1.792868964,67.22823265,SB5,-2.163669462,10.28579485
NGC1365,3.17E-10,Mean,-8.627964326,71.26729008,SB5,-0.158552488,11.11164372
LCRSB232242.2-384320,0.044033205,Mean,-2.759538946,82.8671617,SB5,-2.452490747,10.72388894
MCG+04-22-042,0.377294963,Mean,-2.250791779,90.2165351,SB1,-2.452302355,10.20699489
NGC4180,1.96E-15,Mean,-15.25606779,91.01142585,SB5,-1.578287649,10.17798466
NGC7172,1.30E-11,Mean,-11.27290816,103.6393574,SB5,-1.417966233,10.40208436
2MASXJ07595347+2323241,0.165557699,Mean,-1.73875467,111.5932615,SB1,-1.455419688,10.98526496
NGC3079,1.69E-20,Mean,-19.27531885,117.1749919,SB5,-0.533994911,11.0488957
3C120,0.274627569,Mean,-1.531133732,118.9235079,SB3,-1.956876842,11.0825832
2MASXJ23272195+1524375,0.468387756,Mean,-2.182100813,119.1661396,SB1,-2.546223319,10.4906924
MCG+06-24-008,7.25E-14,Mean,-14.4594231,120.4330329,SB5,-2.349516499,10.51663468
ESO533-G050,5.42E-12,Mean,-13.10249731,128.3052614,SB1,-2.25593669,10.01880246
NGC3718,0.075549669,Mean,-2.352914254,160.2389506,SB1,-1.684375184,8.964882295
NGC4939,0.100809296,Mean,-1.727025505,193.0090032,SB1,-1.195786226,10.30177826
ESO157-G023,0.065248002,Mean,-3.220442311,202.3033571,SB1,-2.483425073,10.26443221
NGC4941,0.183410227,Mean,-1.762487022,213.7101675,SB1,-1.533018583,8.996382392
HB890241+622,0.592789493,Mean,-1.5101145,226.7654928,SB3,-2.520756043,11.02605146
ESO139-G012,0.102396138,Mean,-2.360926081,239.6033337,SB1,-1.837236893,10.09540192
CenA,6.57E-11,Mean,-9.186965519,411.1854618,SB1,0.576090895,9.830576168
3C111.0,0.252671776,Mean,-2.159427741,437.4760352,SB1,-2.107585038,10.83449066
PKS2331-240,0.232932259,Mean,-2.450766394,477.7521285,SB1,-2.352274261,10.56353052
PICTORA,0.220500817,Mean,-2.518536052,630.7629789,SB1,-2.38924254,10.24410932
