# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 25.18  0.30916E+00    50
 25.19  0.30693E+00    50
 25.20  0.30509E+00    50
 25.21  0.30329E+00    52
 25.22  0.30188E+00    54
 25.23  0.30047E+00    56
 25.24  0.29984E+00    59
 25.25  0.29921E+00    61
 25.26  0.29897E+00    63
 25.27  0.29949E+00    64
 25.28  0.30000E+00    65
 25.29  0.30012E+00    66
 25.30  0.30024E+00    66
 25.31  0.30036E+00    66
 25.32  0.30008E+00    66
 25.33  0.29823E+00    65
 25.34  0.29673E+00    65
 25.35  0.29447E+00    64
 25.36  0.29143E+00    63
 25.37  0.28834E+00    62
 25.38  0.28530E+00    61
 25.39  0.28225E+00    60
 25.40  0.27915E+00    59
 25.41  0.27649E+00    58
 25.42  0.27423E+00    58
 25.43  0.27196E+00    58
 25.44  0.26969E+00    58
 25.45  0.26742E+00    58
 25.46  0.26439E+00    59
 25.47  0.26172E+00    59
 25.48  0.25749E+00    60
 25.49  0.25247E+00    61
 25.50  0.24781E+00    61
 25.51  0.24198E+00    62
 25.52  0.23536E+00    62
 25.53  0.22913E+00    63
 25.54  0.22290E+00    64
 25.55  0.21745E+00    65
 25.56  0.21201E+00    66
 25.57  0.20731E+00    67
 25.58  0.20425E+00    68
 25.59  0.20154E+00    68
 25.60  0.19886E+00    69
 25.61  0.19695E+00    69
 25.62  0.19503E+00    70
 25.63  0.19315E+00    70
 25.64  0.19003E+00    71
 25.65  0.18615E+00    72
 25.66  0.18267E+00    73
 25.67  0.17758E+00    74
 25.68  0.17173E+00    75
 25.69  0.16548E+00    77
 25.70  0.15918E+00    78
 25.71  0.15247E+00    79
 25.72  0.14580E+00    81
 25.73  0.13949E+00    82
 25.74  0.13473E+00    82
 25.75  0.12957E+00    83
 25.76  0.12521E+00    83
 25.77  0.12333E+00    85
 25.78  0.12141E+00    86
 25.79  0.11953E+00    88
 25.80  0.11966E+00    90
 25.81  0.11982E+00    93
 25.82  0.12035E+00    95
 25.83  0.12128E+00    98
 25.84  0.12258E+00    99
 25.85  0.12432E+00   101
 25.86  0.12561E+00   102
 25.87  0.12763E+00   102
 25.88  0.12930E+00   102
 25.89  0.13132E+00   102
 25.90  0.13331E+00   101
 25.91  0.13530E+00   100
 25.92  0.13733E+00    99
 25.93  0.13855E+00    99
 25.94  0.14018E+00    98
 25.95  0.14145E+00    99
 25.96  0.14191E+00    99
 25.97  0.14232E+00   100
 25.98  0.14242E+00   100
 25.99  0.14207E+00   101
 26.00  0.14095E+00   103
 26.01  0.13942E+00   104
 26.02  0.13794E+00   106
 26.03  0.13560E+00   108
 26.04  0.13330E+00   110
 26.05  0.13100E+00   112
 26.06  0.12833E+00   114
 26.07  0.12562E+00   117
 26.08  0.12294E+00   119
 26.09  0.12068E+00   122
 26.10  0.11840E+00   125
 26.11  0.11617E+00   129
 26.12  0.11394E+00   132
 26.13  0.11174E+00   136
 26.14  0.10987E+00   139
 26.15  0.10760E+00   142
 26.16  0.10531E+00   144
 26.17  0.10299E+00   146
 26.18  0.10034E+00   149
 26.19  0.97196E-01   151
 26.20  0.93969E-01   152
 26.21  0.90821E-01   153
 26.22  0.87589E-01   154
 26.23  0.84681E-01   153
 26.24  0.81771E-01   153
 26.25  0.79227E-01   151
 26.26  0.77866E-01   148
 26.27  0.76832E-01   144
 26.28  0.75470E-01   141
 26.29  0.76154E-01   139
 26.30  0.76510E-01   137
 26.31  0.77236E-01   135
 26.32  0.78085E-01   135
 26.33  0.78976E-01   136
 26.34  0.79867E-01   138
 26.35  0.80349E-01   140
